product_id,product_name,category_id,supplier_id,unit_price,cost_price,brand,expiry_date,storage_condition,created_at,pack_info
52,Health_Product_52,7,4,283.93,146.94,MediCare,2029-08-05,Ambient,2022-05-01,Pack: 90g | Form: Bandage
53,Health_Product_53,5,4,108.49,47.74,LifeLine,2027-01-16,Ambient,2022-11-16,Form: Device / Warranty: 12m
54,Health_Product_54,8,5,222.15,149.87,CuraMax,2028-09-03,Refrigerated,2025-07-26,Pack: 10g | Form: Cream
55,Health_Product_55,2,5,116.23,72.63,HealthPlus,2028-07-26,Refrigerated,2022-03-31,Pack: 90 tabs | Strength: 25mg | Form: Tablet
56,Health_Product_56,8,3,169.58,179.79,HealthPlus,2026-12-08,Controlled,2021-12-18,Pack: 60g | Form: Cream
57,Health_Product_57,6,1,94.02,61.38,BioZen,2029-10-05,Ambient,2024-06-17,Pack: 300ml | Strength: 650mg/5ml | Form: Liquid
58,Health_Product_58,2,3,99.36,71.19,VitalMeds,2029-03-12,Ambient,2025-03-20,Pack: 60 tabs / Strength: 200mg / Form: Tablet
59,Health_Product_59,6,2,222.61,93.74,VitalMeds,2026-09-17,Ambient,2025-09-10,Pack: 300ml | Strength: 250mg/5ml | Form: Liquid
60,Health_Product_60,9,3,238.58,269.87,BioZen,2026-10-26,Refrigerated,2022-11-12,Pack: 10 units | Form: Kit
61,Health_Product_61,2,3,294.97,140.02,LifeLine,2027-05-05,Controlled,2024-08-20,Pack: 60 tabs | Strength: 650mg | Form: Tablet
62,Health_Product_62,6,1,120.83,48.06,MediCare,2029-01-19,Refrigerated,2022-12-22,Pack: 150ml | Strength: 25mg/5ml | Form: Liquid
63,Health_Product_63,8,5,115.5,62.78,CuraMax,2027-07-31,Ambient,2022-01-26,Pack: 100g / Form: Cream
64,Health_Product_64,6,2,7.08,4.14,LifeLine,2026-02-12,Ambient,2022-01-17,Pack: 150ml | Strength: 100mg/5ml | Form: Liquid
65,Health_Product_65,1,4,51.96,29.3,MediCare,2026-03-09,Ambient,2022-10-05,Pack: 20 tabs | Strength: 250mg | Form: Tablet
66,Health_Product_66,3,2,83.46,37.22,HealthPlus,2026-12-01,Controlled,2024-11-07,Pack: 20 caps | Strength: 25mg | Form: Capsule
67,Health_Product_67,8,2,120.13,82.44,VitalMeds,2025-12-14,Refrigerated,2023-01-14,Pack: 30g | Form: Cream
68,Health_Product_68,5,3,246.76,88.3,VitalMeds,2027-08-06,Refrigerated,2023-06-19,Form: Device | Warranty: 24m
69,Health_Product_69,9,5,201.39,96.42,HealthPlus,2029-09-03,Ambient,2023-09-05,Pack: 90 units | Form: Kit
70,Health_Product_70,6,2,291.95,179.85,MediCare,2029-07-01,Ambient,2024-10-16,Pack: 150ml | Strength: 500mg/5ml | Form: Liquid
71,Health_Product_71,8,3,86.99,55.13,LifeLine,2028-06-09,Ambient,2022-04-21,Pack: 10g
72,Health_Product_72,1,3,18.91,9.53,PharmaCo,2029-03-06,Controlled,2025-05-07,Pack: 60 tabs | Strength: 650mg | Form: Tablet
73,Health_Product_73,6,4,207.0,73.75,LifeLine,2029-04-14,Ambient,2022-01-31,Pack: 100ml / Strength: 250mg/5ml
74,Health_Product_74,5,3,142.51,82.47,BioZen,2029-07-02,Controlled,2025-03-18,Form: Device | Warranty: 12m
75,Health_Product_75,6,4,82.16,30.67,HealthPlus,2026-03-18,Refrigerated,2023-10-09,Pack: 150ml | Strength: 25mg/5ml | Form: Liquid
76,Health_Product_76,1,3,154.35,60.18,LifeLine,2026-08-23,Refrigerated,2024-09-03,
77,Health_Product_77,8,2,111.27,65.72,MediCare,2027-08-27,Controlled,2024-12-23,Pack: 60g | Form: Cream
78,Health_Product_78,5,4,110.21,51.32,LifeLine,2026-06-22,Controlled,2025-05-27,Form: Device / Warranty: 6m
79,Health_Product_79,6,2,85.52,40.94,HealthPlus,2026-11-26,Controlled,2023-04-27,Pack: 50ml | Strength: 100mg/5ml | Form: Liquid
80,Health_Product_80,2,1,258.48,137.03,BioZen,2027-09-14,Refrigerated,2021-12-02,Pack: 30 tabs | Strength: 500mg | Form: Tablet
81,Health_Product_81,9,5,68.7,48.92,BioZen,2029-01-31,Ambient,2022-09-20,Pack: 20 units | Form: Kit
82,Health_Product_82,3,1,165.09,116.75,CuraMax,2026-10-24,Refrigerated,2022-10-05,Strength: 500mg / Form: Capsule / Pack: 30 caps
83,Health_Product_83,9,2,282.84,142.56,BioZen,2027-06-08,Refrigerated,2022-01-26,Form: Kit / Pack: 20 units
84,Health_Product_84,5,4,295.9,132.63,HealthPlus,2027-06-19,Refrigerated,2023-07-18,Form: Device | Warranty: 12m
85,Health_Product_85,9,5,101.72,46.99,VitalMeds,2027-08-09,Ambient,2022-04-28,
86,Health_Product_86,4,1,227.22,102.12,MediCare,2027-08-02,Controlled,2024-12-22,Pack: 90g / Form: Cream
87,Health_Product_87,5,5,18.48,10.11,MediCare,2026-12-16,Controlled,2023-06-17,Form: Device | Warranty: 6m
88,Health_Product_88,4,2,92.6,53.2,PharmaCo,2027-06-29,Refrigerated,2024-09-15,Form: Cream / Pack: 60g
89,Health_Product_89,1,2,204.88,108.76,LifeLine,2026-01-28,Ambient,2025-09-22,Pack: 30 tabs | Strength: 100mg | Form: Tablet
90,Health_Product_90,2,4,81.37,40.76,HealthPlus,2026-11-22,Refrigerated,2024-09-02,Pack: 100 tabs | Strength: 650mg | Form: Tablet
91,Health_Product_91,4,5,64.72,27.71,CuraMax,2029-03-03,Ambient,2022-04-24,Form: Cream / Pack: 90g
92,Health_Product_92,3,4,21.16,25.48,BioZen,2026-11-27,Controlled,2025-03-13,Pack: 10 caps | Strength: 500mg | Form: Capsule
93,Health_Product_93,2,3,229.56,109.32,CuraMax,2029-10-21,Controlled,2024-03-26,Pack: 20 tabs | Strength: 500mg | Form: Tablet
94,Health_Product_94,5,3,252.06,138.73,VitalMeds,2028-11-04,Refrigerated,2025-05-05,Form: Device | Warranty: 6m
95,Health_Product_95,8,3,10.31,6.18,LifeLine,2027-09-25,Ambient,2024-12-24,Pack: 30g | Form: Cream
96,Health_Product_96,3,3,44.16,25.8,HealthPlus,2026-11-19,Refrigerated,2024-12-04,Pack: 100 caps | Strength: 500mg | Form: Capsule
97,Health_Product_97,5,3,177.41,92.45,VitalMeds,2026-01-08,Refrigerated,2025-02-22,Warranty: 12m / Form: Device
98,Health_Product_98,6,3,292.8,162.72,PharmaCo,2028-12-28,Ambient,2023-02-07,Pack: 500ml | Strength: 500mg/5ml | Form: Liquid
99,Health_Product_99,9,3,250.24,113.96,BioZen,2029-02-09,Ambient,2025-01-29,Pack: 100 units | Form: Kit
100,Health_Product_100,2,1,20.87,7.49,CuraMax,2028-04-30,Controlled,2024-11-13,Pack: 20 tabs | Strength: 250mg | Form: Tablet
101,Health_Product_101,9,4,75.93,44.13,LifeLine,2026-05-24,Refrigerated,2022-08-10,Pack: 30 units
102,Health_Product_102,2,3,282.23,125.15,HealthPlus,2026-09-16,Refrigerated,2022-10-31,Pack: 60 tabs | Strength: 25mg | Form: Tablet
103,Health_Product_103,4,4,183.46,109.62,PharmaCo,2029-08-11,Ambient,2024-04-11,Pack: 100g | Form: Cream
104,Health_Product_104,9,4,200.86,125.82,CuraMax,2026-05-11,Refrigerated,2023-05-01,Pack: 60 units | Form: Kit
105,Health_Product_105,1,2,33.1,22.8,BioZen,2027-07-06,Ambient,2024-07-11,Pack: 90 tabs | Strength: 200mg | Form: Tablet
106,Health_Product_106,8,1,95.04,66.96,HealthPlus,2026-03-09,Refrigerated,2022-07-15,Pack: 20g | Form: Cream
107,Health_Product_107,4,2,112.46,39.8,CuraMax,2028-10-03,Ambient,2024-08-01,
108,Health_Product_108,8,1,122.06,87.45,MediCare,2029-01-08,Controlled,2024-12-10,Pack: 60g | Form: Cream
109,Health_Product_109,2,5,79.84,48.12,CuraMax,2028-09-09,Refrigerated,2024-04-27,Pack: 30 tabs | Strength: 650mg | Form: Tablet
110,Health_Product_110,5,3,13.57,7.98,CuraMax,2028-06-15,Ambient,2023-03-11,Form: Device | Warranty: 12m
111,Health_Product_111,1,2,70.21,24.97,CuraMax,2028-02-16,Refrigerated,2023-02-22,Pack: 60 tabs | Strength: 100mg | Form: Tablet
112,Health_Product_112,5,2,218.42,146.05,CuraMax,2027-09-01,Ambient,2024-12-06,Form: Device | Warranty: 6m
113,Health_Product_113,9,5,281.07,306.69,LifeLine,2026-11-13,Controlled,2023-02-27,Pack: 10 units | Form: Kit
114,Health_Product_114,9,3,167.08,110.24,LifeLine,2028-05-02,Controlled,2024-03-06,Pack: 10 units / Form: Kit
115,Health_Product_115,6,5,277.56,98.74,CuraMax,2026-12-24,Ambient,2023-07-14,Pack: 150ml | Strength: 250mg/5ml | Form: Liquid
116,Health_Product_116,2,5,70.83,41.72,VitalMeds,2029-11-13,Controlled,2025-05-15,Strength: 250mg / Pack: 10 tabs / Form: Tablet
117,Health_Product_117,3,1,185.35,94.69,VitalMeds,2026-04-14,Controlled,2022-04-03,
118,Health_Product_118,1,2,244.53,103.75,LifeLine,2028-08-15,Refrigerated,2022-06-23,Pack: 100 tabs | Strength: 650mg | Form: Tablet
119,Health_Product_119,2,2,191.75,74.74,CuraMax,2029-03-26,Controlled,2023-08-01,Pack: 60 tabs | Strength: 250mg | Form: Tablet
120,Health_Product_120,9,4,47.43,24.32,CuraMax,2029-09-24,Controlled,2022-09-20,Pack: 20 units | Form: Kit
121,Health_Product_121,8,4,275.18,108.87,HealthPlus,2026-01-03,Refrigerated,2025-09-23,Pack: 20g
122,Health_Product_122,4,5,86.98,46.1,BioZen,2029-02-04,Ambient,2024-02-05,Pack: 90g | Form: Cream
123,Health_Product_123,8,4,299.65,174.2,CuraMax,2028-11-12,Refrigerated,2025-10-31,
124,Health_Product_124,8,1,81.17,53.26,HealthPlus,2029-07-11,Refrigerated,2024-10-13,Pack: 20g
125,Health_Product_125,7,3,232.84,139.96,BioZen,2026-05-29,Controlled,2023-06-11,Pack: 60g | Form: Bandage
126,Health_Product_126,1,4,223.56,83.64,LifeLine,2029-02-22,Controlled,2023-04-19,Pack: 60 tabs / Strength: 50mg
127,Health_Product_127,3,2,205.55,95.32,PharmaCo,2029-10-06,Refrigerated,2023-02-06,Pack: 90 caps / Strength: 50mg / Form: Capsule
128,Health_Product_128,9,5,68.24,31.16,HealthPlus,2027-08-02,Ambient,2024-04-17,Form: Kit / Pack: 20 units
129,Health_Product_129,1,1,72.51,49.93,PharmaCo,2027-09-02,Refrigerated,2022-07-03,Pack: 20 tabs | Strength: 500mg | Form: Tablet
130,Health_Product_130,4,1,271.25,182.03,MediCare,2028-02-15,Refrigerated,2024-02-23,Pack: 60g | Form: Cream
131,Health_Product_131,9,3,10.49,5.11,BioZen,2028-06-15,Refrigerated,2022-09-26,Pack: 30 units
132,Health_Product_132,4,2,265.77,100.02,CuraMax,2028-04-19,Controlled,2023-12-10,Pack: 60g | Form: Cream
133,Health_Product_133,9,1,9.06,6.17,VitalMeds,2029-07-09,Refrigerated,2025-03-19,Pack: 90 units / Form: Kit
134,Health_Product_134,3,3,79.21,53.75,PharmaCo,2027-01-01,Ambient,2023-05-13,Pack: 20 caps / Strength: 100mg / Form: Capsule
135,Health_Product_135,8,3,15.88,10.58,PharmaCo,2029-10-07,Refrigerated,2023-09-05,Pack: 20g | Form: Cream
136,Health_Product_136,4,1,208.37,138.08,PharmaCo,2026-10-08,Refrigerated,2021-11-30,
137,Health_Product_137,4,5,98.3,51.87,CuraMax,2029-01-17,Refrigerated,2022-01-27,Pack: 20g | Form: Cream
138,Health_Product_138,8,1,118.18,49.12,MediCare,2026-09-29,Refrigerated,2023-06-04,Pack: 90g | Form: Cream
139,Health_Product_139,2,5,94.15,49.59,LifeLine,2028-03-10,Controlled,2023-06-20,Pack: 20 tabs / Strength: 25mg / Form: Tablet
140,Health_Product_140,5,3,145.26,77.42,PharmaCo,2028-11-06,Refrigerated,2022-10-24,Form: Device | Warranty: 12m
141,Health_Product_141,7,1,230.36,122.38,HealthPlus,2027-11-18,Refrigerated,2025-07-14,Pack: 30g | Form: Bandage
142,Health_Product_142,1,4,149.3,82.02,LifeLine,2027-07-19,Ambient,2025-01-06,Pack: 100 tabs | Strength: 200mg | Form: Tablet
143,Health_Product_143,9,5,131.05,58.36,MediCare,2026-02-01,Ambient,2022-12-09,Pack: 30 units / Form: Kit
144,Health_Product_144,2,4,205.52,99.78,LifeLine,2028-04-12,Refrigerated,2024-05-27,Pack: 20 tabs | Strength: 100mg | Form: Tablet
145,Health_Product_145,1,1,47.87,24.44,BioZen,2027-10-25,Controlled,2024-01-12,Pack: 20 tabs | Strength: 50mg | Form: Tablet
146,Health_Product_146,4,4,200.3,79.82,CuraMax,2027-04-28,Controlled,2025-09-17,
147,Health_Product_147,8,1,280.48,145.42,MediCare,2026-06-30,Refrigerated,2025-02-16,Pack: 100g | Form: Cream
148,Health_Product_148,4,4,216.85,140.93,CuraMax,2026-02-10,Ambient,2022-05-01,Pack: 60g | Form: Cream
149,Health_Product_149,8,2,165.88,108.88,MediCare,2029-04-26,Controlled,2023-03-10,Pack: 100g | Form: Cream
150,Health_Product_150,8,3,116.36,58.45,HealthPlus,2026-01-23,Refrigerated,2023-10-27,Pack: 100g | Form: Cream
151,Health_Product_151,1,4,289.85,157.09,MediCare,2026-11-21,Ambient,2024-01-10,Pack: 60 tabs | Strength: 650mg | Form: Tablet
152,Health_Product_152,3,5,149.83,54.31,MediCare,2026-12-24,Controlled,2024-01-01,Pack: 60 caps / Strength: 25mg / Form: Capsule
153,Health_Product_153,8,3,52.77,31.64,MediCare,2026-07-05,Refrigerated,2022-03-27,Pack: 60g | Form: Cream
154,Health_Product_154,5,5,79.36,39.66,VitalMeds,2028-11-29,Controlled,2023-04-22,Form: Device
155,Health_Product_155,9,4,275.61,141.89,MediCare,2030-01-06,Controlled,2023-04-23,Pack: 90 units | Form: Kit
156,Health_Product_156,5,2,69.44,46.75,MediCare,2026-05-15,Ambient,2023-08-21,Form: Device | Warranty: 6m
157,Health_Product_157,3,4,26.75,13.93,PharmaCo,2026-09-25,Ambient,2022-05-23,Pack: 30 caps | Strength: 100mg | Form: Capsule
158,Health_Product_158,8,3,216.17,77.35,LifeLine,2029-06-10,Ambient,2024-01-30,Pack: 60g | Form: Cream
159,Health_Product_159,7,1,296.96,128.93,PharmaCo,2029-07-26,Ambient,2024-11-24,Pack: 60g | Form: Bandage
160,Health_Product_160,7,5,149.43,78.6,CuraMax,2026-12-18,Refrigerated,2025-05-24,Pack: 10g | Form: Bandage
161,Health_Product_161,5,2,44.08,22.35,BioZen,2029-10-06,Ambient,2024-06-14,
162,Health_Product_162,7,3,197.52,132.01,PharmaCo,2027-06-08,Refrigerated,2022-04-08,Pack: 100g | Form: Bandage
163,Health_Product_163,3,4,26.0,14.32,CuraMax,2026-09-15,Ambient,2025-03-20,Pack: 30 caps | Strength: 200mg | Form: Capsule
164,Health_Product_164,9,1,278.4,168.48,HealthPlus,2027-03-11,Controlled,2025-11-10,Pack: 20 units / Form: Kit
165,Health_Product_165,2,4,23.8,12.46,PharmaCo,2027-12-21,Ambient,2023-09-29,Pack: 90 tabs | Strength: 100mg | Form: Tablet
166,Health_Product_166,7,4,265.82,136.28,CuraMax,2026-10-28,Ambient,2024-02-15,Pack: 30g | Form: Bandage
167,Health_Product_167,2,3,53.52,27.57,BioZen,2026-07-14,Ambient,2022-08-11,Pack: 30 tabs / Strength: 200mg / Form: Tablet
168,Health_Product_168,9,1,45.04,22.61,HealthPlus,2029-08-07,Controlled,2023-02-15,Pack: 100 units | Form: Kit
169,Health_Product_169,4,1,41.76,22.94,BioZen,2027-07-05,Refrigerated,2022-07-08,Pack: 20g / Form: Cream
170,Health_Product_170,9,3,123.12,54.5,CuraMax,2027-10-12,Refrigerated,2024-06-08,Pack: 20 units | Form: Kit
171,Health_Product_171,8,1,173.62,118.01,BioZen,2029-01-21,Refrigerated,2022-04-28,Form: Cream / Pack: 60g
172,Health_Product_172,2,5,158.28,74.9,PharmaCo,2028-11-05,Ambient,2024-01-06,Pack: 30 tabs / Strength: 25mg / Form: Tablet
173,Health_Product_173,4,4,253.56,102.59,LifeLine,2028-09-16,Ambient,2024-05-27,Pack: 20g | Form: Cream
174,Health_Product_174,1,1,130.02,50.15,CuraMax,2028-11-25,Controlled,2023-03-08,Pack: 90 tabs | Strength: 50mg | Form: Tablet
175,Health_Product_175,1,2,155.37,55.15,MediCare,2028-04-08,Controlled,2025-04-28,Strength: 200mg / Pack: 60 tabs
176,Health_Product_176,5,5,220.28,111.56,PharmaCo,2026-12-26,Controlled,2025-08-27,Form: Device | Warranty: 24m
177,Health_Product_177,5,1,46.7,19.59,BioZen,2027-05-25,Ambient,2024-12-27,Form: Device / Warranty: 12m
178,Health_Product_178,4,2,64.88,23.23,LifeLine,2029-09-08,Controlled,2023-02-22,Pack: 60g
179,Health_Product_179,4,4,258.75,140.35,MediCare,2027-05-31,Controlled,2023-12-21,Pack: 90g
180,Health_Product_180,3,5,284.78,171.32,BioZen,2026-10-10,Controlled,2024-08-30,Pack: 100 caps | Strength: 200mg | Form: Capsule
181,Health_Product_181,3,2,253.74,329.7,PharmaCo,2026-10-26,Controlled,2023-08-05,Pack: 20 caps / Strength: 500mg
182,Health_Product_182,7,5,193.45,100.7,BioZen,2028-05-22,Refrigerated,2022-10-15,Pack: 20g | Form: Bandage
183,Health_Product_183,3,2,148.4,92.77,LifeLine,2026-04-16,Refrigerated,2023-11-09,Pack: 100 caps | Strength: 50mg | Form: Capsule
184,Health_Product_184,5,5,91.17,65.16,MediCare,2028-05-03,Controlled,2022-11-18,Form: Device / Warranty: 6m
185,Health_Product_185,6,5,280.13,167.2,VitalMeds,2027-09-07,Ambient,2024-09-01,Pack: 100ml / Strength: 100mg/5ml
186,Health_Product_186,6,1,253.91,111.87,BioZen,2026-03-11,Controlled,2022-05-10,Form: Liquid / Pack: 150ml / Strength: 50mg/5ml
187,Health_Product_187,9,1,210.47,129.47,CuraMax,2026-04-05,Ambient,2021-11-07,Pack: 100 units | Form: Kit
188,Health_Product_188,3,2,202.34,115.58,LifeLine,2026-11-15,Refrigerated,2024-09-24,Pack: 10 caps | Strength: 200mg | Form: Capsule
189,Health_Product_189,7,4,280.47,120.14,BioZen,2028-10-05,Ambient,2024-06-13,Pack: 100g | Form: Bandage
190,Health_Product_190,6,4,67.57,44.93,PharmaCo,2026-04-23,Controlled,2024-03-25,Pack: 50ml | Strength: 100mg/5ml | Form: Liquid
191,Health_Product_191,3,1,294.7,149.75,MediCare,2026-11-14,Controlled,2025-02-26,Pack: 30 caps | Strength: 25mg | Form: Capsule
192,Health_Product_192,9,2,266.96,188.46,VitalMeds,2029-04-14,Ambient,2023-11-07,Pack: 90 units
193,Health_Product_193,9,3,33.98,20.98,VitalMeds,2026-02-17,Refrigerated,2023-07-16,Pack: 30 units | Form: Kit
194,Health_Product_194,9,4,41.56,24.46,HealthPlus,2026-02-17,Refrigerated,2025-11-23,Form: Kit / Pack: 10 units
195,Health_Product_195,2,5,234.28,145.13,MediCare,2029-04-04,Refrigerated,2023-03-25,Pack: 90 tabs | Strength: 100mg | Form: Tablet
196,Health_Product_196,5,2,109.52,57.71,BioZen,2027-09-27,Refrigerated,2022-07-06,Form: Device
197,Health_Product_197,3,5,29.22,15.69,PharmaCo,2026-11-30,Ambient,2025-04-04,Pack: 20 caps | Strength: 100mg | Form: Capsule
198,Health_Product_198,3,4,255.19,169.69,VitalMeds,2027-02-23,Controlled,2023-01-01,Pack: 90 caps / Strength: 200mg
199,Health_Product_199,4,1,238.39,143.5,MediCare,2029-08-27,Ambient,2025-09-28,Pack: 60g / Form: Cream
200,Health_Product_200,8,5,264.03,180.06,BioZen,2029-06-23,Controlled,2022-01-29,Pack: 20g | Form: Cream
201,Health_Product_201,1,1,276.76,188.09,BioZen,2026-12-07,Controlled,2025-06-24,Pack: 30 tabs | Strength: 650mg | Form: Tablet
202,Health_Product_202,3,1,99.79,116.98,CuraMax,2028-06-06,Ambient,2022-08-14,Pack: 10 caps / Strength: 100mg / Form: Capsule
203,Health_Product_203,7,5,253.47,154.38,VitalMeds,2027-11-21,Controlled,2024-01-02,Pack: 20g | Form: Bandage
204,Health_Product_204,1,4,209.48,112.25,PharmaCo,2028-08-10,Controlled,2023-04-05,Pack: 20 tabs | Strength: 200mg | Form: Tablet
205,Health_Product_205,2,4,233.41,96.06,CuraMax,2026-12-05,Ambient,2023-07-16,Pack: 30 tabs / Strength: 25mg / Form: Tablet
206,Health_Product_206,2,1,197.89,120.91,MediCare,2027-09-28,Ambient,2023-09-09,Strength: 100mg / Form: Tablet / Pack: 100 tabs
207,Health_Product_207,3,3,296.1,135.58,CuraMax,2026-03-26,Refrigerated,2023-11-21,Pack: 30 caps | Strength: 100mg | Form: Capsule
